candidate,cx,cy,cz,radius,az_deg,x,y,z,reachable
x050_y-030_z100,0.50,-0.30,1.00,0.40,0,0.500,0.100,1.050,1
x050_y-030_z100,0.50,-0.30,1.00,0.40,30,0.700,0.046,1.050,1
x050_y-030_z100,0.50,-0.30,1.00,0.40,60,0.846,-0.100,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.40,90,0.900,-0.300,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.40,120,0.846,-0.500,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.40,150,0.700,-0.646,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.50,0,0.500,0.200,1.050,1
x050_y-030_z100,0.50,-0.30,1.00,0.50,30,0.750,0.133,1.050,1
x050_y-030_z100,0.50,-0.30,1.00,0.50,60,0.933,-0.050,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.50,90,1.000,-0.300,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.50,120,0.933,-0.550,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.50,150,0.750,-0.733,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.60,0,0.500,0.300,1.050,1
x050_y-030_z100,0.50,-0.30,1.00,0.60,30,0.800,0.220,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.60,60,1.020,0.000,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.60,90,1.100,-0.300,1.050,0
x050_y-030_z100,0.50,-0.30,1.00,0.60,120,1.020,-0.600,1.050,0
x050_y-030_z090,0.50,-0.30,0.90,0.40,0,0.500,0.100,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.40,30,0.700,0.046,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.40,60,0.846,-0.100,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.40,90,0.900,-0.300,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.40,120,0.846,-0.500,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.40,150,0.700,-0.646,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.40,180,0.500,-0.700,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.50,0,0.500,0.200,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.50,30,0.750,0.133,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.50,60,0.933,-0.050,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.50,90,1.000,-0.300,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.50,120,0.933,-0.550,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.50,150,0.750,-0.733,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.60,0,0.500,0.300,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.60,30,0.800,0.220,0.950,1
x050_y-030_z090,0.50,-0.30,0.90,0.60,60,1.020,0.000,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.60,90,1.100,-0.300,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.60,120,1.020,-0.600,0.950,0
x050_y-030_z090,0.50,-0.30,0.90,0.60,150,0.800,-0.820,0.950,0
x050_y-030_z085,0.50,-0.30,0.85,0.40,0,0.500,0.100,0.900,1
x050_y-030_z085,0.50,-0.30,0.85,0.40,30,0.700,0.046,0.900,1
x050_y-030_z085,0.50,-0.30,0.85,0.40,60,0.846,-0.100,0.900,1
x050_y-030_z085,0.50,-0.30,0.85,0.40,90,0.900,-0.300,0.900,0
x050_y-030_z085,0.50,-0.30,0.85,0.40,120,0.846,-0.500,0.900,0
x050_y-030_z085,0.50,-0.30,0.85,0.40,150,0.700,-0.646,0.900,0
